popularity,duration_ms,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,399507,2014,0.543,0.871,1,-6.159,1,0.0504,0.314,3.89e-06,0.0858,0.412,93.485
0,386693,2014,0.455,0.625,7,-6.883,1,0.0301,0.151,0.0,0.119,0.16,88.077
0,263453,2014,0.518,0.531,2,-7.532,1,0.0285,0.202,2.89e-06,0.169,0.39,159.897
0,327837,2013-11-21,0.833,0.841,2,-5.842,1,0.24,0.00711,0.000441,0.143,0.786,132.958
0,221855,2012-01-29,0.595,0.828,9,-6.368,1,0.0426,0.0701,0.0,0.254,0.488,117.933
0,155272,2014-09-11,0.671,0.852,0,-5.671,1,0.0959,0.000971,6.2e-06,0.0702,0.591,140.136
0,254627,2020-09-05,0.298,0.611,2,-6.864,1,0.0442,0.259,7.3e-05,0.163,0.282,150.219
0,221649,2012-03-09,0.6,0.818,9,-7.176,1,0.0399,0.0685,0.0,0.199,0.527,117.96
0,157048,2014-09-11,0.664,0.936,1,-4.947,1,0.0485,0.00286,0.338,0.0588,0.682,117.45
0,383373,2011-07-04,0.441,0.604,0,-14.391,1,0.041,0.000591,0.0103,0.828,0.119,117.94
0,223055,2019-04-01,0.385,0.745,9,-6.068,0,0.411,0.273,0.0,0.806,0.362,74.189
0,201247,2014-09-11,0.484,0.973,4,-4.893,0,0.0499,0.0108,0.0163,0.513,0.851,75.982
0,225045,2014-09-11,0.59,0.934,7,-3.801,1,0.0408,0.00051,0.41,0.147,0.961,140.019
0,327837,2014-11-12,0.833,0.841,2,-5.842,1,0.24,0.00711,0.000441,0.143,0.786,132.958
0,183562,2015-12-16,0.652,0.125,6,-19.866,1,0.0375,0.924,5.01e-05,0.0831,0.32,95.525
0,269949,2015-12-16,0.534,0.0972,9,-19.164,0,0.0409,0.745,4.34e-05,0.252,0.0775,127.354
0,243226,2020-09-05,0.427,0.413,2,-8.527,1,0.026,0.296,0.000181,0.119,0.33,69.981
0,160705,2020-12-31,0.507,0.861,8,-5.43,1,0.0641,1.7e-05,0.000975,0.409,0.231,120.168
